iteration,length,param
671,3323,1
547,3323,1
846,3323,1
973,3323,1
445,3323,1
762,3323,1
653,3336,1
14,3323,1
638,3323,1
2288,3323,1
579,3323,1
764,3323,1
353,3323,1
504,3323,1
3877,3323,1
629,3323,2
235,3323,2
1599,3323,2
465,3323,2
777,3323,2
34,3323,2
626,3323,2
627,3323,2
1564,3323,2
939,3323,2
102,3323,2
1749,3323,2
343,3323,2
36,3323,2
557,3323,2
270,3323,3
1580,3323,3
1992,3323,3
7878,3323,3
540,3323,3
61,3336,3
38,3346,3
25,3323,3
1200,3323,3
562,3323,3
4042,3323,3
2514,3323,3
1180,3323,3
2817,3323,3
231,3323,3
59,3323,4
427,3323,4
1936,3323,4
1526,3323,4
486,3323,4
2714,3323,4
871,3323,4
139,3323,4
1200,3323,4
874,3346,4
959,3323,4
3943,3323,4
148,3323,4
9,3359,4
2047,3323,4
1569,3323,5
21,3323,5
3785,3323,5
1135,3323,5
1763,3323,5
592,3323,5
3785,3323,5
488,3323,5
58,3336,5
705,3323,5
603,3323,5
637,3323,5
877,3323,5
550,3323,5
880,3323,5
11,3323,6
1660,3336,6
2362,3323,6
2230,3323,6
595,3323,6
4095,3323,6
16,3323,6
1433,3323,6
5265,3323,6
1360,3323,6
747,3323,6
1811,3323,6
2736,3323,6
724,3323,6
1429,3323,6
261,3323,7
230,3323,7
1146,3323,7
1184,3323,7
45,3323,7
532,3323,7
244,3323,7
414,3323,7
362,3323,7
1031,3323,7
2154,3323,7
687,3323,7
2523,3323,7
441,3323,7
1,3371,7
1514,3323,8
641,3323,8
568,3323,8
388,3323,8
42,3323,8
149,3323,8
1141,3323,8
180,3323,8
25,3323,8
3623,3323,8
54,3323,8
73,3323,8
1354,3323,8
632,3323,8
477,3323,8
833,3323,9
29,3323,9
3065,3323,9
1209,3323,9
3628,3323,9
1164,3323,9
1803,3323,9
1196,3323,9
2491,3323,9
2369,3323,9
748,3323,9
89,3323,9
2693,3323,9
1731,3323,9
451,3323,9
509,3323,10
3,3359,10
868,3323,10
263,3323,10
2418,3323,10
1376,3323,10
1094,3323,10
20,3336,10
952,3323,10
2211,3323,10
1222,3323,10
488,3323,10
278,3323,10
91,3323,10
432,3323,10
