iteration,length,param
292,3323,0.5
856,3323,0.5
746,3323,0.5
330,3323,0.5
96,3323,0.5
629,3323,0.5
1394,3323,0.5
294,3323,0.5
238,3323,0.5
116,3323,0.5
271,3323,0.5
54,3323,0.5
1088,3323,0.5
320,3323,0.5
38,3323,0.5
595,3323,0.6
455,3323,0.6
359,3323,0.6
177,3323,0.6
330,3323,0.6
630,3323,0.6
257,3323,0.6
495,3323,0.6
364,3323,0.6
139,3323,0.6
427,3323,0.6
137,3323,0.6
382,3323,0.6
620,3323,0.6
379,3323,0.6
1502,3323,0.7
550,3323,0.7
589,3323,0.7
1131,3323,0.7
466,3323,0.7
360,3323,0.7
130,3323,0.7
63,3323,0.7
476,3323,0.7
150,3323,0.7
136,3323,0.7
902,3323,0.7
506,3323,0.7
110,3323,0.7
197,3323,0.7
1384,3323,0.8
79,3323,0.8
992,3323,0.8
101,3323,0.8
329,3323,0.8
28,3323,0.8
181,3323,0.8
1401,3323,0.8
336,3323,0.8
59,3323,0.8
397,3323,0.8
78,3323,0.8
59,3323,0.8
450,3323,0.8
143,3323,0.8
50,3323,0.9
580,3323,0.9
143,3323,0.9
561,3323,0.9
922,3323,0.9
1846,3323,0.9
1053,3323,0.9
500,3323,0.9
434,3323,0.9
141,3323,0.9
417,3323,0.9
1446,3323,0.9
1245,3323,0.9
1651,3323,0.9
337,3323,0.9
651,3323,1
711,3346,1
4473,3323,1
1432,3323,1
260,3323,1
823,3323,1
672,3323,1
162,3323,1
52,3323,1
109,3323,1
279,3323,1
1082,3336,1
51,3323,1
2040,3323,1
2591,3323,1
2765,3336,1.1
18,3336,1.1
81,3323,1.1
869,3336,1.1
1947,3371,1.1
82,3336,1.1
21,3323,1.1
816,3323,1.1
1258,3323,1.1
148,3346,1.1
324,3323,1.1
32,3323,1.1
767,3323,1.1
30,3323,1.1
1355,3323,1.1
40,3336,1.2
25,3455,1.2
382,3346,1.2
883,3323,1.2
30,3346,1.2
3571,3323,1.2
53,3388,1.2
24,3394,1.2
17,3550,1.2
225,3382,1.2
11,3416,1.2
32,3369,1.2
13,3381,1.2
36,3323,1.2
242,3346,1.2
1,3394,1.3
108,3467,1.3
13,3371,1.3
31,3439,1.3
12,3381,1.3
45,3346,1.3
35,3336,1.3
20,3369,1.3
2571,3323,1.3
11,3444,1.3
16,3473,1.3
8,3371,1.3
1987,3359,1.3
16,3444,1.3
4,3359,1.3
13,3444,1.4
47,3346,1.4
14,3381,1.4
133,3381,1.4
16,3381,1.4
25,3467,1.4
42,3404,1.4
16,3426,1.4
5034,3388,1.4
19,3359,1.4
12,3394,1.4
12,3346,1.4
926,3336,1.4
10,3359,1.4
11,3535,1.4
