iteration,length,param
308,3323,1
36,3323,1
243,3323,1
302,3323,1
1059,3323,1
878,3323,1
350,3323,1
770,3323,1
347,3323,1
487,3323,1
121,3323,1
719,3323,1
449,3323,1
47,3323,1
839,3323,1
97,3323,2
663,3323,2
2318,3323,2
24,3381,2
165,3323,2
524,3323,2
203,3323,2
162,3323,2
514,3323,2
442,3323,2
163,3323,2
25,3323,2
83,3323,2
556,3323,2
518,3323,2
415,3323,3
290,3323,3
16,3336,3
406,3323,3
294,3336,3
1115,3323,3
5,3323,3
1541,3323,3
159,3323,3
766,3323,3
398,3323,3
16,3336,3
58,3323,3
595,3323,3
1008,3323,3
1028,3323,4
29,3336,4
1171,3323,4
58,3336,4
358,3323,4
86,3323,4
98,3323,4
1413,3323,4
107,3323,4
620,3336,4
1911,3323,4
1944,3323,4
896,3323,4
626,3323,4
59,3323,4
3307,3336,5
1787,3323,5
253,3346,5
4019,3323,5
1620,3323,5
16,3381,5
640,3403,5
188,3323,5
2163,3323,5
1976,3323,5
59,3323,5
2377,3323,5
258,3323,5
2389,3323,5
424,3323,5
5634,3323,6
57,3323,6
1774,3323,6
2847,3323,6
7191,3323,6
5220,3336,6
5499,3323,6
728,3323,6
69,3323,6
5106,3336,6
4729,3323,6
2057,3323,6
1108,3323,6
1512,3336,6
5485,3323,6
3714,3346,7
2134,3359,7
7419,3323,7
2227,3323,7
4746,3336,7
2868,3323,7
1787,3413,7
70,3336,7
3007,3323,7
2561,3323,7
652,3323,7
6418,3323,7
6331,3323,7
9554,3336,7
3433,3323,7
1917,3359,8
22,3336,8
4793,3323,8
155,3371,8
979,3359,8
441,3336,8
1917,3346,8
10,3371,8
7349,3323,8
841,3359,8
358,3359,8
46,3323,8
693,3336,8
57,3336,8
0,3371,8
133,3336,9
1625,3416,9
9,3371,9
8,3371,9
175,3336,9
3698,3323,9
2627,3323,9
85,3336,9
65,3323,9
5591,3323,9
13,3394,9
4176,3323,9
7095,3346,9
6801,3323,9
6129,3323,9
1470,3323,10
1369,3359,10
5779,3408,10
8,3439,10
5596,3346,10
4224,3323,10
4345,3323,10
605,3323,10
942,3323,10
1365,3336,10
1050,3408,10
7,3371,10
99,3323,10
1961,3359,10
2782,3359,10
