iteration,length,param
233,3323,0.1
162,3323,0.1
214,3323,0.1
554,3323,0.1
88,3323,0.1
143,3323,0.1
505,3323,0.1
376,3323,0.1
187,3323,0.1
224,3323,0.1
371,3323,0.1
296,3323,0.1
325,3323,0.1
106,3323,0.1
314,3323,0.1
232,3323,0.2
223,3323,0.2
310,3323,0.2
32,3323,0.2
129,3323,0.2
244,3323,0.2
574,3323,0.2
25,3323,0.2
342,3323,0.2
585,3323,0.2
2613,3323,0.2
218,3323,0.2
148,3323,0.2
418,3323,0.2
48,3323,0.2
567,3323,0.3
1164,3323,0.3
1900,3323,0.3
1457,3323,0.3
137,3323,0.3
995,3323,0.3
1035,3323,0.3
51,3323,0.3
1274,3323,0.3
156,3323,0.3
720,3323,0.3
1245,3323,0.3
61,3323,0.3
466,3323,0.3
871,3323,0.3
758,3323,0.4
1524,3323,0.4
129,3323,0.4
637,3323,0.4
69,3323,0.4
2390,3323,0.4
1585,3323,0.4
1494,3323,0.4
702,3323,0.4
2844,3323,0.4
1807,3323,0.4
479,3323,0.4
367,3323,0.4
548,3323,0.4
286,3323,0.4
1320,3323,0.5
16,3346,0.5
40,3323,0.5
1199,3323,0.5
1663,3323,0.5
548,3323,0.5
471,3323,0.5
1136,3323,0.5
156,3346,0.5
30,3323,0.5
929,3323,0.5
264,3323,0.5
42,3323,0.5
1300,3323,0.5
1731,3323,0.5
165,3323,0.6
1591,3336,0.6
3811,3323,0.6
1677,3323,0.6
69,3323,0.6
2656,3323,0.6
1606,3359,0.6
42,3323,0.6
509,3346,0.6
970,3323,0.6
125,3323,0.6
2215,3323,0.6
2,3444,0.6
4196,3323,0.6
393,3346,0.6
778,3336,0.7
4,3444,0.7
3276,3323,0.7
2,3371,0.7
3129,3346,0.7
8,3371,0.7
627,3323,0.7
9,3336,0.7
3,3369,0.7
80,3369,0.7
719,3478,0.7
10,3381,0.7
418,3369,0.7
7,3371,0.7
14,3446,0.7
6,3323,0.8
4,3411,0.8
34,3346,0.8
3,3416,0.8
591,3408,0.8
6,3381,0.8
9,3381,0.8
24,3381,0.8
52,3404,0.8
11,3439,0.8
2,3461,0.8
79,3416,0.8
12,3346,0.8
35,3388,0.8
194,3388,0.8
26,3465,0.9
209,3426,0.9
15,3346,0.9
2,3455,0.9
27,3381,0.9
6,3478,0.9
194,3323,0.9
4,3381,0.9
16,3346,0.9
0,3638,0.9
1,3573,0.9
4,3371,0.9
8,3553,0.9
6,3336,0.9
63,3369,0.9
2,3785,1
0,3733,1
3,3531,1
1,3444,1
0,3802,1
1,3606,1
2,3774,1
10,3506,1
1,3416,1
2,3764,1
1,4002,1
2,3409,1
1,4060,1
2,3690,1
0,3745,1
