iteration,length,param
17,30527,1
28,26325,11
807,26683,21
670,26365,31
266,25993,41
190,26100,51
195,25993,61
17,25876,71
63,26284,81
63,25993,91
45,25993,101
97,30304,1
132,27294,11
35,26100,21
143,25993,31
22,26419,41
114,26400,51
18,25990,61
113,26130,71
83,25993,81
593,25993,91
26,26098,101
64,30284,1
17,26184,11
20,26248,21
28,26284,31
486,26100,41
521,25993,51
538,26186,61
828,26246,71
127,25876,81
322,25993,91
18,26100,101
31,27581,1
36,32581,1
18,28086,1
108,27000,11
454,26315,11
81,27085,11
25,26000,21
62,26742,21
28,26648,21
282,25993,31
25,26224,31
129,26284,31
27,26273,41
556,25993,41
19,26000,41
31,25993,51
45,26284,51
667,26582,51
424,25993,61
16,26292,61
239,26088,61
33,26186,71
25,26284,71
714,25993,71
19,26100,81
189,25876,81
70,25876,81
29,26293,91
17,25876,91
57,25993,91
334,26088,101
274,25876,101
118,25876,101
81,26284,101
22,25876,101
144,25993,101
475,25769,111
519,25993,111
971,25769,111
41,25876,121
22,26284,121
214,26088,121
16,26036,131
94,25876,131
932,25876,131
532,25769,141
351,25876,141
48,25993,141
782,25793,151
287,25876,151
14,26039,151
