iteration,length,param
22,3613,1
24,3695,1
0,3394,1
2240,3323,11
749,3346,11
1189,3336,11
186,3323,21
292,3323,21
466,3323,21
1412,3323,31
362,3323,31
419,3323,31
421,3323,41
26,3323,41
324,3323,41
55,3323,51
100,3323,51
162,3323,51
360,3323,61
148,3323,61
157,3323,61
184,3323,71
37,3323,71
181,3323,71
24,3323,81
65,3323,81
117,3323,81
13,3323,91
252,3323,91
103,3323,91
104,3323,101
6,3323,101
18,3323,101
9,3978,1
49,3824,1
10,3891,1
1205,3323,11
1010,3336,11
663,3323,11
578,3323,21
1695,3323,21
85,3323,21
801,3323,31
177,3323,31
27,3323,31
116,3323,41
387,3323,41
542,3323,41
472,3323,51
78,3323,51
213,3323,51
56,3323,61
25,3323,61
52,3323,61
384,3323,71
158,3323,71
100,3323,71
279,3323,81
20,3323,81
62,3323,81
70,3323,91
18,3323,91
48,3323,91
30,3323,101
20,3323,101
88,3323,101
11,3923,1
7,3805,1
12,3506,1
680,3323,11
155,3323,11
2342,3323,11
159,3323,21
378,3323,21
535,3323,21
80,3323,31
318,3323,31
349,3323,31
30,3323,41
39,3323,41
358,3323,41
112,3323,51
210,3323,51
382,3323,51
46,3323,61
158,3323,61
78,3323,61
120,3323,71
75,3323,71
48,3323,71
42,3323,81
81,3323,81
69,3323,81
141,3323,91
22,3323,91
112,3323,91
115,3323,101
71,3323,101
47,3323,101
49,3323,101
21,3323,101
38,3323,101
75,3323,111
69,3323,111
56,3323,111
26,3323,121
43,3323,121
116,3323,121
34,3323,131
189,3323,131
11,3323,131
56,3323,141
28,3323,141
59,3323,141
27,3323,151
16,3323,151
13,3323,151
